"","Name","Link"
"111","Lanskroon","http://www.tripadvisor.com/Restaurant_Review-g188590-d2092256-Reviews-Lanskroon-Amsterdam_North_Holland_Province.html"
"112","Brasserie SenT","http://www.tripadvisor.com/Restaurant_Review-g188590-d3198485-Reviews-Brasserie_SenT-Amsterdam_North_Holland_Province.html"
"113","Boca's","http://www.tripadvisor.com/Restaurant_Review-g188590-d3595812-Reviews-Boca_s-Amsterdam_North_Holland_Province.html"
"114","Eten aan de Rijn","http://www.tripadvisor.com/Restaurant_Review-g188590-d2356699-Reviews-Eten_aan_de_Rijn-Amsterdam_North_Holland_Province.html"
"115","Bagels & Beans","http://www.tripadvisor.com/Restaurant_Review-g188590-d3811933-Reviews-Bagels_Beans-Amsterdam_North_Holland_Province.html"
"116","Cafe De Koe","http://www.tripadvisor.com/Restaurant_Review-g188590-d6154994-Reviews-Cafe_De_Koe-Amsterdam_North_Holland_Province.html"
"117","Hotel de Goudfazant","http://www.tripadvisor.com/Restaurant_Review-g188590-d1423083-Reviews-Hotel_de_Goudfazant-Amsterdam_North_Holland_Province.html"
"118","Vegabond","http://www.tripadvisor.com/Restaurant_Review-g188590-d6756371-Reviews-Vegabond-Amsterdam_North_Holland_Province.html"
"119","Willems","http://www.tripadvisor.com/Restaurant_Review-g188590-d3569412-Reviews-Willems-Amsterdam_North_Holland_Province.html"
"120","La Sirene","http://www.tripadvisor.com/Restaurant_Review-g188590-d3733380-Reviews-La_Sirene-Amsterdam_North_Holland_Province.html"
"121","Restaurant La Cacerola","http://www.tripadvisor.com/Restaurant_Review-g188590-d3175880-Reviews-Restaurant_La_Cacerola-Amsterdam_North_Holland_Province.html"
"122","Jaspers","http://www.tripadvisor.com/Restaurant_Review-g188590-d3628712-Reviews-Jaspers-Amsterdam_North_Holland_Province.html"
"123","Van Beeren","http://www.tripadvisor.com/Restaurant_Review-g188590-d753094-Reviews-Van_Beeren-Amsterdam_North_Holland_Province.html"
"124","Traiterie Chef","http://www.tripadvisor.com/Restaurant_Review-g188590-d4456650-Reviews-Traiterie_Chef-Amsterdam_North_Holland_Province.html"
"125","Brouwerij de Prael","http://www.tripadvisor.com/Restaurant_Review-g188590-d2336115-Reviews-Brouwerij_de_Prael-Amsterdam_North_Holland_Province.html"
"126","Taiko","http://www.tripadvisor.com/Restaurant_Review-g188590-d7074921-Reviews-Taiko-Amsterdam_North_Holland_Province.html"
"127","De Nieuwe Pilserij","http://www.tripadvisor.com/Restaurant_Review-g188590-d7693518-Reviews-De_Nieuwe_Pilserij-Amsterdam_North_Holland_Province.html"
"128","De Drie Graefjes","http://www.tripadvisor.com/Restaurant_Review-g188590-d1174180-Reviews-De_Drie_Graefjes-Amsterdam_North_Holland_Province.html"
"129","Rakang","http://www.tripadvisor.com/Restaurant_Review-g188590-d696996-Reviews-Rakang-Amsterdam_North_Holland_Province.html"
"130","Rijks","http://www.tripadvisor.com/Restaurant_Review-g188590-d7222366-Reviews-Rijks-Amsterdam_North_Holland_Province.html"
"131","Rijsel","http://www.tripadvisor.com/Restaurant_Review-g188590-d2618876-Reviews-Rijsel-Amsterdam_North_Holland_Province.html"
"132","Anmol Indian Restaurant","http://www.tripadvisor.com/Restaurant_Review-g188590-d3405227-Reviews-Anmol_Indian_Restaurant-Amsterdam_North_Holland_Province.html"
"133","Restaurant het Stuivertje","http://www.tripadvisor.com/Restaurant_Review-g188590-d2402562-Reviews-Restaurant_het_Stuivertje-Amsterdam_North_Holland_Province.html"
"134","Friet Steeg","http://www.tripadvisor.com/Restaurant_Review-g188590-d2626162-Reviews-Friet_Steeg-Amsterdam_North_Holland_Province.html"
"135","Koffie Cultuur Centrum","http://www.tripadvisor.com/Restaurant_Review-g188590-d3589462-Reviews-Koffie_Cultuur_Centrum-Amsterdam_North_Holland_Province.html"
"136","Excalibur Cafe","http://www.tripadvisor.com/Restaurant_Review-g188590-d6848538-Reviews-Excalibur_Cafe-Amsterdam_North_Holland_Province.html"
"137","Eetcafe Singel 404","http://www.tripadvisor.com/Restaurant_Review-g188590-d1319323-Reviews-Eetcafe_Singel_404-Amsterdam_North_Holland_Province.html"
"138","Ko-Chang","http://www.tripadvisor.com/Restaurant_Review-g188590-d810881-Reviews-Ko_Chang-Amsterdam_North_Holland_Province.html"
"139","La Parrillada","http://www.tripadvisor.com/Restaurant_Review-g188590-d1949723-Reviews-La_Parrillada-Amsterdam_North_Holland_Province.html"
"140","Librije's Zusje Amsterdam","http://www.tripadvisor.com/Restaurant_Review-g188590-d6864170-Reviews-Librije_s_Zusje_Amsterdam-Amsterdam_North_Holland_Province.html"
"141","Cafe de Dam, Louis Bar","http://www.tripadvisor.com/Restaurant_Review-g188590-d3726256-Reviews-Cafe_de_Dam_Louis_Bar-Amsterdam_North_Holland_Province.html"
"142","De Blauwe Hollander","http://www.tripadvisor.com/Restaurant_Review-g188590-d948896-Reviews-De_Blauwe_Hollander-Amsterdam_North_Holland_Province.html"
"143","Mossel en Gin","http://www.tripadvisor.com/Restaurant_Review-g188590-d6649841-Reviews-Mossel_en_Gin-Amsterdam_North_Holland_Province.html"
"144","Vesper Bar","http://www.tripadvisor.com/Restaurant_Review-g188590-d4062521-Reviews-Vesper_Bar-Amsterdam_North_Holland_Province.html"
"145","Vinnies","http://www.tripadvisor.com/Restaurant_Review-g188590-d7137931-Reviews-Vinnies-Amsterdam_North_Holland_Province.html"
"146","Van Speyk","http://www.tripadvisor.com/Restaurant_Review-g188590-d2413678-Reviews-Van_Speyk-Amsterdam_North_Holland_Province.html"
"147","Bagels & Beans","http://www.tripadvisor.com/Restaurant_Review-g188590-d4437125-Reviews-Bagels_Beans-Amsterdam_North_Holland_Province.html"
"148","Restaurant Olijfje","http://www.tripadvisor.com/Restaurant_Review-g188590-d2044977-Reviews-Restaurant_Olijfje-Amsterdam_North_Holland_Province.html"
"149","Ristorante Italia Oggi","http://www.tripadvisor.com/Restaurant_Review-g188590-d2249868-Reviews-Ristorante_Italia_Oggi-Amsterdam_North_Holland_Province.html"
"150","Hemelse Modder","http://www.tripadvisor.com/Restaurant_Review-g188590-d696942-Reviews-Hemelse_Modder-Amsterdam_North_Holland_Province.html"
"151","Puccini Bomboni","http://www.tripadvisor.com/Restaurant_Review-g188590-d696990-Reviews-Puccini_Bomboni-Amsterdam_North_Holland_Province.html"
"152","Vishandel Albert Cuyp","http://www.tripadvisor.com/Restaurant_Review-g188590-d7102447-Reviews-Vishandel_Albert_Cuyp-Amsterdam_North_Holland_Province.html"
"153","Cafe Toussaint","http://www.tripadvisor.com/Restaurant_Review-g188590-d1572807-Reviews-Cafe_Toussaint-Amsterdam_North_Holland_Province.html"
"154","Biercafe Gollem","http://www.tripadvisor.com/Restaurant_Review-g188590-d6586198-Reviews-Biercafe_Gollem-Amsterdam_North_Holland_Province.html"
